Date,Open,High,Low,Close,Adj Close,Volume,RSI,Upper Bollinger band,Lower Bollinger band,%K (5 days stochastic oscillator),"%D Average(H,3)",EMA 12,EMA 26,Volume Weighted Average Price,William % R,Commodity Channel Index,Rate of Change (10 days),Aroon Up,Aroon Down,MACD,BUY/SELL
2010/06/17,526.657837,533.443481,524.181274,530.6698,484.254089,9713558,40.68857475,535.1021737,488.134294,90.00009013,87.76917162,516.22437,513.3149465,519.1902635,-6.837543565,152.7980509,0.03938692902,96,20,2.909423459,1
2010/06/18,535.028442,539.783386,520.342651,522.224854,476.547821,17665260,45.7410954,535.9830103,487.8725894,12.89950585,87.32861272,517.1475214,513.9749397,519.3168551,-37.43395238,128.6799206,0.02244963067,96,16,3.1725817,-1
2010/06/21,525.518616,530.818359,525.518616,527.821777,481.65509,5442424,36.63001651,539.0302487,488.724111,39.16869334,60.15226665,518.7897145,515.0006313,519.3579101,-25.50157962,108.9560799,0.05745472862,92,12,3.78908322,0
2010/06/22,526.509216,532.353821,523.512634,526.905457,480.818939,5957438,34.95337205,540.8548975,490.6319365,33.75801378,47.35609644,520.0382903,515.8824703,519.400044,-27.45513013,99.86467174,0.06764349097,88,8,4.155820043,0
2010/06/23,524.874695,528.738098,522.051453,524.379395,478.513885,5380714,36.87690472,541.0904466,492.3705304,20.76435896,28.60873766,520.7061526,516.5118721,519.4260693,-32.84057378,75.17609154,0.0512883875,84,4,4.194280471,0
2010/06/24,524.528015,527.896057,518.73291,521.085632,475.508179,8678626,43.692485,541.7303137,493.2059658,11.17657387,31.23035536,520.764534,516.8506691,519.4492407,-39.86271933,52.16108962,0.03614519276,80,0,3.913864892,-1
2010/06/25,520.070251,528.985718,516.603149,526.484436,480.434814,9380179,34.68187556,543.8685791,494.9735319,62.73565344,21.89964887,521.6445189,517.5642815,519.4853809,-29.89979876,54.63141005,0.01581606969,76,8,4.080237452,1
2010/06/28,531.957581,540.873047,527.574097,539.956726,492.728607,14524622,26.91641547,547.2389402,498.2367157,96.22445467,31.55886209,524.4617816,519.2229811,519.6865635,-2.180335217,114.0795729,0.02505867332,96,4,5.238800483,1
2010/06/29,540.377747,540.377747,527.103577,528.713318,482.468719,6559747,31.69286146,544.7932341,504.9561949,49.89789821,56.71222733,525.1158641,519.925969,519.7537491,-34.57746842,85.33848075,0.001266256489,92,0,5.189895092,-1
2010/06/30,525.023315,541.838928,523.785034,539.808167,492.593201,12293253,33.5332587,544.3328781,510.6880136,91.95284996,69.61933544,527.3762184,521.3987244,519.9087185,-8.04715004,98.10022601,0.0301526579,88,32,5.977493978,1
2010/07/01,536.910645,538.074585,528.242798,533.072021,486.446075,6142980,35.57554549,540.400534,516.7324792,65.2600104,79.35840095,528.2524957,522.263413,519.9749095,-34.7399896,79.21592485,0.004526771638,84,28,5.989082667,-1
2010/07/02,532.948181,536.885864,527.648438,529.456299,483.146759,5052862,43.9818487,539.433705,518.0849371,31.41297384,69.03691952,528.4376962,522.7962194,520.0214792,-49.0677502,64.54398365,0.01384737809,80,24,5.641476806,-1
2010/07/05,529.976379,531.53656,526.360657,529.134338,482.852844,2953374,48.59568288,539.4663357,518.2079722,29.62964112,62.87527807,528.5448719,523.2657097,520.0429753,-50.34356181,49.76805716,0.002486750371,76,20,5.279162199,0
2010/07/06,527.747498,535.870483,527.747498,531.90802,485.383942,4271186,46.76865525,540.1331872,518.6697042,44.992986,42.10087512,529.0622793,523.9058808,520.0836405,-39.35249235,74.21796653,0.009494232663,72,16,5.156398467,1
2010/07/07,531.957581,532.353821,520.565552,521.828613,476.186218,6340351,51.18215072,539.8244942,517.7153706,7.213767888,35.34520032,527.9494075,523.7520091,520.1082376,-79.29343097,-4.702613839,-0.004864382591,68,12,4.197398422,-1
2010/07/08,525.023315,529.753479,522.670593,523.586914,477.79068,5527804,50.25706787,540.1805351,517.5539097,18.51289363,27.27879834,527.2782547,523.7397799,520.1313392,-72.3259385,-21.63099677,0.00480013619,64,8,3.538474837,0
2010/07/09,526.979736,527.995117,521.828613,523.859314,478.039337,5987918,49.13605175,539.6860686,517.48231,21.52092028,23.57321584,526.7522638,523.7486342,520.1524382,-71.24651868,-65.24722973,-0.004986134101,60,4,3.00362958,-1
2010/07/12,525.023315,528.960999,521.085632,523.165894,477.406525,5798106,52.55155024,539.7369687,516.8971865,16.99022361,15.74919393,526.2005146,523.7054683,520.1719578,-73.99428407,-75.90936603,-0.03109662532,56,0,2.495046321,0
2010/07/13,523.661194,533.814941,523.661194,532.10614,485.564758,6942473,50.85754754,540.4228296,517.3151464,87.10279395,19.00801251,527.1090724,524.3277403,520.2249267,-38.56741652,32.60853048,0.006417129822,52,0,2.781332095,1
